,date,type,locale,locale_name,transferred,year,day,month
0,2012-03-02,3.0,0.0,15.0,0.0,2012,2,3
1,2012-04-01,3.0,2.0,2.0,0.0,2012,1,4
2,2012-04-12,3.0,0.0,3.0,0.0,2012,12,4
3,2012-04-14,3.0,0.0,12.0,0.0,2012,14,4
4,2012-04-21,3.0,0.0,19.0,0.0,2012,21,4
5,2012-05-12,3.0,0.0,16.0,0.0,2012,12,5
6,2012-06-23,3.0,0.0,7.0,0.0,2012,23,6
7,2012-06-25,3.0,2.0,10.0,0.0,2012,25,6
8,2012-06-25,3.0,0.0,11.0,0.0,2012,25,6
9,2012-06-25,3.0,0.0,14.0,0.0,2012,25,6
10,2012-07-03,3.0,0.0,22.0,0.0,2012,3,7
11,2012-07-03,3.0,0.0,5.0,0.0,2012,3,7
12,2012-07-23,3.0,0.0,1.0,0.0,2012,23,7
13,2012-08-05,3.0,0.0,6.0,0.0,2012,5,8
14,2012-08-10,3.0,1.0,4.0,0.0,2012,10,8
15,2012-08-15,3.0,0.0,19.0,0.0,2012,15,8
16,2012-08-24,3.0,0.0,0.0,0.0,2012,24,8
17,2012-09-28,3.0,0.0,9.0,0.0,2012,28,9
18,2012-10-07,3.0,0.0,17.0,0.0,2012,7,10
19,2012-10-09,3.0,1.0,4.0,1.0,2012,9,10
20,2012-10-12,4.0,1.0,4.0,0.0,2012,12,10
21,2012-11-02,3.0,1.0,4.0,0.0,2012,2,11
22,2012-11-03,3.0,1.0,4.0,0.0,2012,3,11
23,2012-11-06,3.0,2.0,23.0,0.0,2012,6,11
24,2012-11-07,3.0,2.0,21.0,0.0,2012,7,11
25,2012-11-10,3.0,0.0,7.0,0.0,2012,10,11
26,2012-11-11,3.0,0.0,11.0,0.0,2012,11,11
27,2012-11-12,3.0,0.0,0.0,0.0,2012,12,11
28,2012-12-05,0.0,0.0,18.0,0.0,2012,5,12
29,2012-12-06,3.0,0.0,18.0,0.0,2012,6,12
30,2012-12-08,3.0,0.0,13.0,0.0,2012,8,12
31,2012-12-21,0.0,1.0,4.0,0.0,2012,21,12
32,2012-12-22,3.0,0.0,20.0,0.0,2012,22,12
33,2012-12-22,0.0,1.0,4.0,0.0,2012,22,12
34,2012-12-23,0.0,1.0,4.0,0.0,2012,23,12
35,2012-12-24,1.0,1.0,4.0,0.0,2012,24,12
36,2012-12-24,0.0,1.0,4.0,0.0,2012,24,12
37,2012-12-25,3.0,1.0,4.0,0.0,2012,25,12
38,2012-12-26,0.0,1.0,4.0,0.0,2012,26,12
39,2012-12-31,1.0,1.0,4.0,0.0,2012,31,12
40,2012-12-31,0.0,1.0,4.0,0.0,2012,31,12
41,2013-01-01,3.0,1.0,4.0,0.0,2013,1,1
42,2013-01-05,5.0,1.0,4.0,0.0,2013,5,1
43,2013-01-12,5.0,1.0,4.0,0.0,2013,12,1
44,2013-02-11,3.0,1.0,4.0,0.0,2013,11,2
45,2013-02-12,3.0,1.0,4.0,0.0,2013,12,2
46,2013-03-02,3.0,0.0,15.0,0.0,2013,2,3
47,2013-04-01,3.0,2.0,2.0,0.0,2013,1,4
48,2013-04-12,3.0,0.0,3.0,0.0,2013,12,4
49,2013-04-14,3.0,0.0,12.0,0.0,2013,14,4
50,2013-04-21,3.0,0.0,19.0,0.0,2013,21,4
51,2013-04-29,3.0,1.0,4.0,0.0,2013,29,4
52,2013-05-01,3.0,1.0,4.0,0.0,2013,1,5
53,2013-05-11,0.0,1.0,4.0,0.0,2013,11,5
54,2013-05-12,3.0,0.0,16.0,0.0,2013,12,5
55,2013-05-12,2.0,1.0,4.0,0.0,2013,12,5
56,2013-05-24,3.0,1.0,4.0,0.0,2013,24,5
57,2013-06-23,3.0,0.0,7.0,0.0,2013,23,6
58,2013-06-25,3.0,2.0,10.0,0.0,2013,25,6
59,2013-06-25,3.0,0.0,14.0,0.0,2013,25,6
60,2013-06-25,3.0,0.0,11.0,0.0,2013,25,6
61,2013-07-03,3.0,0.0,5.0,0.0,2013,3,7
62,2013-07-03,3.0,0.0,22.0,0.0,2013,3,7
63,2013-07-23,3.0,0.0,1.0,0.0,2013,23,7
64,2013-07-24,0.0,0.0,8.0,0.0,2013,24,7
65,2013-07-25,3.0,0.0,8.0,0.0,2013,25,7
66,2013-08-05,3.0,0.0,6.0,0.0,2013,5,8
67,2013-08-10,3.0,1.0,4.0,0.0,2013,10,8
68,2013-08-15,3.0,0.0,19.0,0.0,2013,15,8
69,2013-08-24,3.0,0.0,0.0,0.0,2013,24,8
70,2013-09-28,3.0,0.0,9.0,0.0,2013,28,9
71,2013-10-07,3.0,0.0,17.0,0.0,2013,7,10
72,2013-10-09,3.0,1.0,4.0,1.0,2013,9,10
73,2013-10-11,4.0,1.0,4.0,0.0,2013,11,10
74,2013-11-02,3.0,1.0,4.0,0.0,2013,2,11
75,2013-11-03,3.0,1.0,4.0,0.0,2013,3,11
76,2013-11-06,3.0,2.0,23.0,0.0,2013,6,11
77,2013-11-07,3.0,2.0,21.0,0.0,2013,7,11
78,2013-11-10,3.0,0.0,7.0,0.0,2013,10,11
79,2013-11-11,3.0,0.0,11.0,0.0,2013,11,11
80,2013-11-12,3.0,0.0,0.0,0.0,2013,12,11
81,2013-12-05,0.0,0.0,18.0,0.0,2013,5,12
82,2013-12-06,3.0,0.0,18.0,0.0,2013,6,12
83,2013-12-08,3.0,0.0,13.0,0.0,2013,8,12
84,2013-12-21,0.0,1.0,4.0,0.0,2013,21,12
85,2013-12-22,0.0,1.0,4.0,0.0,2013,22,12
86,2013-12-22,3.0,0.0,20.0,0.0,2013,22,12
87,2013-12-23,0.0,1.0,4.0,0.0,2013,23,12
88,2013-12-24,0.0,1.0,4.0,0.0,2013,24,12
89,2013-12-25,3.0,1.0,4.0,0.0,2013,25,12
90,2013-12-26,0.0,1.0,4.0,0.0,2013,26,12
91,2013-12-31,0.0,1.0,4.0,0.0,2013,31,12
92,2014-01-01,3.0,1.0,4.0,0.0,2014,1,1
93,2014-03-02,3.0,0.0,15.0,0.0,2014,2,3
94,2014-03-03,3.0,1.0,4.0,0.0,2014,3,3
95,2014-03-04,3.0,1.0,4.0,0.0,2014,4,3
96,2014-04-01,3.0,2.0,2.0,0.0,2014,1,4
97,2014-04-12,3.0,0.0,3.0,0.0,2014,12,4
98,2014-04-14,3.0,0.0,12.0,0.0,2014,14,4
99,2014-04-18,3.0,1.0,4.0,0.0,2014,18,4
100,2014-04-21,3.0,0.0,19.0,0.0,2014,21,4
101,2014-05-01,3.0,1.0,4.0,0.0,2014,1,5
102,2014-05-10,0.0,1.0,4.0,0.0,2014,10,5
103,2014-05-11,2.0,1.0,4.0,0.0,2014,11,5
104,2014-05-12,3.0,0.0,16.0,0.0,2014,12,5
105,2014-05-24,3.0,1.0,4.0,0.0,2014,24,5
106,2014-06-12,2.0,1.0,4.0,0.0,2014,12,6
107,2014-06-15,2.0,1.0,4.0,0.0,2014,15,6
108,2014-06-20,2.0,1.0,4.0,0.0,2014,20,6
109,2014-06-23,3.0,0.0,7.0,0.0,2014,23,6
110,2014-06-25,3.0,0.0,11.0,0.0,2014,25,6
111,2014-06-25,3.0,0.0,14.0,0.0,2014,25,6
112,2014-06-25,3.0,2.0,10.0,0.0,2014,25,6
113,2014-06-25,2.0,1.0,4.0,0.0,2014,25,6
114,2014-06-28,2.0,1.0,4.0,0.0,2014,28,6
115,2014-06-29,2.0,1.0,4.0,0.0,2014,29,6
116,2014-06-30,2.0,1.0,4.0,0.0,2014,30,6
117,2014-07-01,2.0,1.0,4.0,0.0,2014,1,7
118,2014-07-03,3.0,0.0,5.0,0.0,2014,3,7
119,2014-07-03,3.0,0.0,22.0,0.0,2014,3,7
120,2014-07-04,2.0,1.0,4.0,0.0,2014,4,7
121,2014-07-05,2.0,1.0,4.0,0.0,2014,5,7
122,2014-07-08,2.0,1.0,4.0,0.0,2014,8,7
123,2014-07-09,2.0,1.0,4.0,0.0,2014,9,7
124,2014-07-12,2.0,1.0,4.0,0.0,2014,12,7
125,2014-07-13,2.0,1.0,4.0,0.0,2014,13,7
126,2014-07-23,3.0,0.0,1.0,0.0,2014,23,7
127,2014-07-24,0.0,0.0,8.0,0.0,2014,24,7
128,2014-07-25,3.0,0.0,8.0,0.0,2014,25,7
129,2014-08-05,3.0,0.0,6.0,0.0,2014,5,8
130,2014-08-10,3.0,1.0,4.0,0.0,2014,10,8
131,2014-08-15,3.0,0.0,19.0,0.0,2014,15,8
132,2014-08-24,3.0,0.0,0.0,0.0,2014,24,8
133,2014-09-28,3.0,0.0,9.0,0.0,2014,28,9
134,2014-10-07,3.0,0.0,17.0,0.0,2014,7,10
135,2014-10-09,3.0,1.0,4.0,1.0,2014,9,10
136,2014-10-10,4.0,1.0,4.0,0.0,2014,10,10
137,2014-11-02,3.0,1.0,4.0,0.0,2014,2,11
138,2014-11-03,3.0,1.0,4.0,0.0,2014,3,11
139,2014-11-06,3.0,2.0,23.0,0.0,2014,6,11
140,2014-11-07,3.0,2.0,21.0,0.0,2014,7,11
141,2014-11-10,3.0,0.0,7.0,0.0,2014,10,11
142,2014-11-11,3.0,0.0,11.0,0.0,2014,11,11
143,2014-11-12,3.0,0.0,0.0,0.0,2014,12,11
144,2014-11-28,2.0,1.0,4.0,0.0,2014,28,11
145,2014-12-01,2.0,1.0,4.0,0.0,2014,1,12
146,2014-12-05,0.0,0.0,18.0,0.0,2014,5,12
