,store_nbr,city,state,type,cluster,Populaiton,A,B,C,D,E
0,23,0.0,15.0,D,9,154369,0,0,0,1,0
1,50,0.0,15.0,A,14,154369,1,0,0,0,0
2,31,1.0,9.0,B,10,76279,0,1,0,0,0
3,11,2.0,12.0,B,6,26582,0,1,0,0,0
4,37,3.0,0.0,D,2,276964,0,0,0,1,0
5,39,3.0,0.0,B,6,276964,0,1,0,0,0
6,42,3.0,0.0,D,2,276964,0,0,0,1,0
7,27,4.0,6.0,D,1,173680,0,0,0,1,0
8,54,5.0,10.0,C,3,114733,0,0,1,0,0
9,43,6.0,5.0,E,10,165216,0,0,0,0,1
10,19,7.0,1.0,C,15,22199,0,0,1,0,0
11,24,8.0,6.0,D,1,1952029,0,0,0,1,0
12,26,8.0,6.0,D,10,1952029,0,0,0,1,0
13,28,8.0,6.0,E,10,1952029,0,0,0,0,1
14,29,8.0,6.0,E,10,1952029,0,0,0,0,1
15,30,8.0,6.0,C,3,1952029,0,0,1,0,0
16,32,8.0,6.0,C,3,1952029,0,0,1,0,0
17,34,8.0,6.0,B,6,1952029,0,1,0,0,0
18,51,8.0,6.0,A,17,1952029,1,0,0,0,0
19,15,9.0,7.0,C,15,132977,0,0,1,0,0
20,12,10.0,3.0,C,15,51717,0,0,1,0,0
21,13,10.0,3.0,C,15,51717,0,0,1,0,0
22,36,11.0,6.0,E,10,75881,0,0,0,0,1
23,38,12.0,8.0,D,4,24211,0,0,0,1,0
24,40,13.0,4.0,C,3,198123,0,0,1,0,0
25,41,13.0,4.0,D,4,198123,0,0,0,1,0
26,52,14.0,10.0,A,11,183166,1,0,0,0,0
27,53,14.0,10.0,D,13,183166,0,0,0,1,0
28,35,15.0,6.0,C,3,30564,0,0,1,0,0
29,22,16.0,11.0,C,7,24881,0,0,1,0,0
30,33,17.0,9.0,C,3,119436,0,0,1,0,0
31,1,18.0,12.0,D,13,1399814,0,0,0,1,0
32,2,18.0,12.0,D,13,1399814,0,0,0,1,0
33,3,18.0,12.0,D,8,1399814,0,0,0,1,0
34,4,18.0,12.0,D,9,1399814,0,0,0,1,0
35,6,18.0,12.0,D,13,1399814,0,0,0,1,0
36,7,18.0,12.0,D,8,1399814,0,0,0,1,0
37,8,18.0,12.0,D,8,1399814,0,0,0,1,0
38,9,18.0,12.0,B,6,1399814,0,1,0,0,0
39,10,18.0,12.0,C,15,1399814,0,0,1,0,0
40,17,18.0,12.0,C,12,1399814,0,0,1,0,0
41,18,18.0,12.0,B,16,1399814,0,1,0,0,0
42,20,18.0,12.0,B,6,1399814,0,1,0,0,0
43,44,18.0,12.0,A,5,1399814,1,0,0,0,0
44,45,18.0,12.0,A,11,1399814,1,0,0,0,0
45,46,18.0,12.0,A,14,1399814,1,0,0,0,0
46,47,18.0,12.0,A,14,1399814,1,0,0,0,0
47,48,18.0,12.0,A,14,1399814,1,0,0,0,0
48,49,18.0,12.0,A,11,1399814,1,0,0,0,0
49,14,19.0,2.0,C,7,124478,0,0,1,0,0
50,25,20.0,13.0,D,1,43862,0,0,0,1,0
51,5,21.0,14.0,D,4,200421,0,0,0,1,0
52,16,21.0,14.0,C,3,200421,0,0,1,0,0
53,21,21.0,14.0,B,6,200421,0,1,0,0,0
